"Share_Symbol","Share_Name","14-Nov-2015"
"GOLDBEES.NS","GOLDMAN SACHS GOLD GOLD EXCH TR",23212.5
"HINDUNILVR-EQ.NS","HINDUSTAN UNILEVER LTD",7967.00012
"IDFCBANK.BO","IDFC BANK",635.49999
