"Share_Symbol","Share_Name","14-Nov-2015"
"GOLDBEES.NS","GOLDMAN SACHS GOLD GOLD EXCH TR",10
"HINDUNILVR-EQ.NS","HINDUSTAN UNILEVER LTD",10
"IDFCBANK.BO","IDFC BANK",10
